,Time (Hours),DUT_0,DUT_1,DUT_2,DUT_3,DUT_4,DUT_5,DUT_6,DUT_7,DUT_8,DUT_9,DUT_10,DUT_11
0,0.0,201.97932777121719,199.68368078293244,204.7955231438435,195.8944419326829,202.7610236044523,197.01436938396958,204.32069461729935,199.8716990858351,200.61909194830156,199.46387846201364,203.2005849352103,202.0816423642953
1,2.0,201.24122633305373,199.78495718720043,203.6671456691618,194.89410272604454,202.68580239278558,196.23794541544646,204.35428936474247,199.8585999856279,200.502762076418,199.07213455781192,201.9148331200418,201.72865369963375
2,4.0,200.53172625300905,199.3594157700886,204.50387203945206,194.14558568527673,203.45234165806613,195.6187167621981,204.35567478682643,199.08316398748286,199.61392443158522,199.2040766926708,201.7724571136455,201.31302942473067
3,6.0,200.359042325551,199.7751514161475,203.57372619668146,194.15297212457992,202.9334878953079,195.70938478651587,203.63280939228252,198.93983852834955,199.44503997707645,199.67723371463967,201.545792767484,201.13238610224684
4,8.0,200.49844700827148,200.12776842724668,203.3593298310387,194.03733672866554,202.98189059010642,195.73231505670913,203.14965989782198,198.84030489876994,199.7662037729784,199.45315996872387,201.95005815396672,201.38807620684682
5,10.0,199.92182521957457,198.8457816379859,202.3439149888139,193.00295664438158,202.55594129297165,195.2261583474776,204.13544460812568,198.18432808735685,199.85184538763775,198.91210785156497,201.3628351896671,201.14133576763385
6,12.0,199.36636763874338,199.65777677924038,204.11527512218277,193.22575243029107,202.9197619937967,195.17191334378526,203.5750098131757,198.73163596819353,199.4498998447388,198.6675032613873,201.4485215586398,199.89091481028794
7,14.0,199.0888270096866,198.4721711095571,203.2885331707488,193.3675107811383,202.7050203708092,195.55665862446992,203.0730070584078,199.0183753131106,199.2480650922813,198.87718662374067,201.14663051417784,200.96777111534723
8,16.0,199.67371099587956,199.22048451647922,202.75597763310512,192.72393531363335,202.02519234656685,195.6763303440415,202.84062884522146,199.67496594149156,199.81062307242573,198.47477935061934,200.65247561948124,200.72074052913618
9,18.0,198.65296399196168,199.19885438931144,201.58792326535138,193.5028990690668,203.0305586610508,195.21146947276696,202.74562589194278,198.9883053014548,199.83511358977222,199.48756959987497,201.04029185545207,200.16770527026074
10,20.0,198.8033983573354,198.8853837180956,201.83045538122227,193.22426123604225,202.30294756471466,194.99093776649175,203.10396907552538,199.01452911795835,199.11363110859816,199.2874902739204,200.37383591872543,200.34850897874904
11,22.0,199.33725079846158,199.0489892832765,202.1174668747895,192.93615632551675,202.69463433255376,195.0200212345138,203.27352341030567,198.61573833968276,199.7450525529572,199.58253009954785,200.5561785449414,200.0733623583302
12,24.0,198.53929975011525,198.53668040280002,202.61943928188265,192.3744771343618,202.4855852673079,195.21896443347705,202.37526804336107,198.95073087573985,199.08697601814856,198.47322592637116,200.24258984277358,199.1568688423717
