,Time (Hours),DUT_0,DUT_1,DUT_2,DUT_3,DUT_4,DUT_5,DUT_6,DUT_7,DUT_8,DUT_9,DUT_10,DUT_11
0,0.0,198.2961683559946,203.57207791132254,197.81993108896492,198.9713204471444,203.09792141117663,203.43246752007357,196.66823438205085,204.41345572709875,195.08591440197563,200.04536134970925,201.48662717191078,202.9544979952635
1,2.0,198.14476209291695,203.39226528229975,197.37656036696222,198.2477778870872,203.0857256605808,203.23336804036228,196.27971869296942,204.35903230197283,194.77341169364695,200.0009112229291,200.93146738727262,202.62958800574057
2,4.0,198.00604511071467,203.13416913689954,197.11380356871823,197.87132545807575,202.96491707244888,203.03559079814107,196.01253632959987,204.54459233406956,194.60863634672197,200.08698434439398,200.66208321899902,202.43227163561767
3,6.0,198.00117415589162,203.08879554444223,196.97317227073674,197.8086724902378,203.01439567142052,202.6933532433641,195.7833582262687,204.39806459884483,194.327470150641,199.9121503385049,200.4902781621923,202.34693504867082
4,8.0,197.92311260164814,202.9270934873352,196.95296476771256,197.64203426350892,202.8525993548132,202.5926568463885,195.56562036129364,204.40123587087658,194.32960542845404,200.0139295849375,200.37175513558998,202.30326033492906
5,10.0,197.79300677922726,202.87411749583077,196.80529964654716,197.48033335865904,202.88562401519602,202.4027002778097,195.3247498408017,204.49292636538445,194.21193656932465,199.9453183869103,200.23890269113357,202.16273368248
6,12.0,197.7222093220906,202.8350742953971,196.7452440195121,197.31634663816894,202.8571430290791,202.27149674980097,195.13556282536396,204.35415154765394,194.0899854000277,199.89270685516112,200.0966946099133,202.044281276636
7,14.0,197.72052594368523,202.62721335496633,196.62548630062483,197.24536025178693,202.77582670985356,202.05747262779687,195.1230577263735,204.48282341791077,194.05891962013357,199.95664197682248,199.90277426762387,201.93516072402278
8,16.0,197.7543525350446,202.5424770718868,196.61226880339584,197.10347151639132,202.7473301151383,201.93418590237667,194.88374836960924,204.37403946494842,194.00660866784767,199.88308948414803,199.8712469842686,201.96830884255633
9,18.0,197.66766192547877,202.46587886925818,196.3829150140266,197.04180957203297,202.73503562283355,201.66796027123954,194.80416968102742,204.31861065410996,193.91641733223946,199.8238739401822,199.74253990011798,201.85245016889186
10,20.0,197.46146920600478,202.4629188240966,196.44436134168245,197.02447424124836,202.75475896292863,201.55013188135513,194.5428957195408,204.3304495366815,193.8608385403133,199.79152316455688,199.5850971111935,201.76904155572706
11,22.0,197.46463413995613,202.40116482484578,196.3154434555736,196.90769457777128,202.56000564978015,201.4761777386936,194.4884332670616,204.34341725503137,193.80265602006932,199.82092355698651,199.47313498985628,201.66448582081304
12,24.0,197.41359865844052,202.28936071335667,196.28123598721513,196.79332273326403,202.70839124228732,201.2264391255719,194.45331472343614,204.26823607554445,193.65911231623565,199.75570927317466,199.4494713838486,201.65635018121208
13,26.0,197.38465264477688,202.23811225850284,196.25902027021215,196.78108354880663,202.5432873776011,201.2362717605698,194.23928718351897,204.3129793259593,193.7177771904064,199.75204862215529,199.36813115809323,201.5099974899017
14,28.0,197.2849236648849,202.08835550475575,196.1138238227585,196.61053080877682,202.53295415608954,201.06411434260121,194.1415447475673,204.23986518091547,193.5586591150817,199.7387001048142,199.26598099314873,201.51098283097227
15,30.0,197.23816987570885,202.12929979285218,196.15946530175142,196.5175480596799,202.57055514690418,200.8247020572763,194.03417685859463,204.18522031958602,193.64011748327155,199.77545438781948,199.25327339338574,201.5049172640975
16,32.0,197.21435128956426,202.13751809586836,195.9884303694254,196.52402592283656,202.5664886624945,200.7973647843716,193.78761806307804,204.26694450770526,193.5207299388139,199.76109079684952,199.05069042888155,201.36922984211452
17,34.0,197.149566098268,202.05063442936122,195.96346315374007,196.53596776214664,202.55279815266624,200.689109585663,193.79671614372916,204.32742199949368,193.46333089686212,199.6733801690525,199.03761832088554,201.3221262673892
18,36.0,197.0620048851706,202.08532749200216,195.91270503249277,196.50564065272408,202.44405108567074,200.55640895225358,193.6581398649959,204.29806621719098,193.3975830474175,199.6146258891236,199.0742749774387,201.33980812962216
19,38.0,197.10985260788652,201.93922166378462,195.86614072618846,196.30547149827424,202.412907654684,200.4982546753502,193.56590291961425,204.14296304133615,193.3450512517141,199.68999058421974,198.9370511883664,201.38314104854697
20,40.0,197.01758280916613,201.98046673937802,195.8651766989127,196.31940028740715,202.4196834882595,200.32967608900057,193.5338100968811,204.27370815847573,193.4259629219331,199.70025831916865,198.88514153199986,201.1847608203139
21,42.0,196.89453931371835,201.78006471216426,195.85220413601226,196.26609512935818,202.43082505412107,200.20442482578557,193.42934662021605,204.20786566795368,193.2629319908905,199.53685374295117,198.80331870977605,201.18473167931162
22,44.0,196.8790980794171,201.83000957176262,195.7544125615555,196.11394973477954,202.39418126389648,200.0518109280112,193.3648006347079,204.26071614044903,193.29861716219585,199.63652871576633,198.80535925344992,201.15449521575337
23,46.0,196.91228184959064,201.78738508517873,195.66403393999414,196.27345947533564,202.42975194374145,199.9388262471748,193.28816878276513,204.2749829202848,193.243281482092,199.63305294090975,198.77362268517138,201.1236622227309
24,48.0,196.72747336836477,201.7275527393072,195.73837196623757,196.16174972353065,202.3813898747436,199.8580737079152,193.29854343031096,204.18880315011307,193.10882683918166,199.52062281774002,198.57260880653857,201.06666608168558
25,50.0,196.83324952616536,201.75779692588253,195.56175051264213,196.06856582908887,202.33295509976463,199.8033578246354,193.17662402811396,204.22689461124216,193.10912732102508,199.49815165232417,198.73793707438318,200.98153842033724
26,52.0,196.70494311402774,201.7276665584738,195.72507718703727,196.04560039684014,202.32459526390667,199.81550310649467,193.06774730365407,204.2358181377625,193.2363796769606,199.61221617853852,198.61000109143748,200.85933501333895
27,54.0,196.594110622994,201.58766683202796,195.60944780320023,196.03784993836715,202.34571431720505,199.68451375883382,192.94345643490342,204.29119017496677,193.06496661055886,199.5877488492542,198.6066113796714,200.88217227967317
28,56.0,196.54734929018872,201.51048412183178,195.5530177326829,195.97164742467163,202.39593806988685,199.69609624427252,192.94843104155925,204.13596529868056,193.12428908328016,199.48962379517928,198.61173662416567,200.81228324918837
29,58.0,196.53886120129042,201.5942646772886,195.41451075650636,195.907338061794,202.27658317272898,199.46819026324613,192.83077948166235,204.12699149550673,193.0209135870968,199.52018692762056,198.49038601266872,200.84177812610668
30,60.0,196.53710921587475,201.45280117090806,195.50089855659044,195.87365338924803,202.3528761065397,199.36981017653756,192.69913189958368,204.10677688901066,192.98536654290788,199.56132524462387,198.43532288941577,200.88720101805458
31,62.0,196.43619509570863,201.55036396342075,195.43371196248162,195.90292978435053,202.27118404272235,199.21656771182865,192.71769839812814,204.19233960272985,192.87512792196983,199.42414899851923,198.32964996204117,200.8050843298061
32,64.0,196.41834997488417,201.48830630069938,195.38312990753877,195.86222832817867,202.3154356569851,199.26683077774155,192.63365231738888,204.0990405081071,192.90793890132457,199.4822457572046,198.39364614471893,200.80050575364095
33,66.0,196.3351751112843,201.41522498979708,195.39262321043427,195.89431809010125,202.30816428836843,199.06781565184963,192.60679508856796,204.13482533022858,192.86413659566873,199.50101840955395,198.2291784199622,200.7148202658005
34,68.0,196.3016016351031,201.33133902582324,195.30789763907123,195.68354649244225,202.32169027001214,199.04270944313652,192.46153589926925,204.11997891906637,192.8331061575325,199.4803992130141,198.28601958889612,200.70100138021235
35,70.0,196.3518841945188,201.3604295535048,195.25985717947736,195.69337407638238,202.1716860624507,198.97508218271054,192.53237203342312,204.06380330694387,192.90580887129622,199.49810604759492,198.281718790637,200.5460307402209
